project,repo,pass,path,status,changed,committed,pushed,note
"Skywalker","Skywalker","first_pass","/Users/benjaminhaddon/Github Repos/Skywalker","done","yes","yes","yes","context-updated"
"Sankofa","sankofa","first_pass","/Users/benjaminhaddon/Github Repos/sankofa","done","yes","yes","yes","context-updated"
"Dukkha","dukkha","first_pass","/Users/benjaminhaddon/Github Repos/dukkha","done","yes","yes","yes","context-updated"
"Agoge","agoge","first_pass","/Users/benjaminhaddon/Github Repos/agoge","done","yes","yes","yes","context-updated"
"Orpheus","orpheus","first_pass","/Users/benjaminhaddon/Github Repos/orpheus","done","no","no","no","no-change"
"drop","drop","first_pass","/Users/benjaminhaddon/Github Repos/drop","done","no","no","no","no-change"
"STARK","STARK","first_pass","/Users/benjaminhaddon/Github Repos/STARK","done","no","no","no","no-change"
"Punchbuggy","punchbuggy","first_pass","/Users/benjaminhaddon/Github Repos/punchbuggy","done","no","no","no","no-change"
"PushUp Challenge","the-pushup-challenge-2025","first_pass","/Users/benjaminhaddon/Github Repos/the-pushup-challenge-2025","done","no","no","no","no-change"
"Wrestle","wrestlePWA","first_pass","/Users/benjaminhaddon/Github Repos/wrestlePWA","done","no","no","no","no-change"
"Narrative","Narrative","first_pass","/Users/benjaminhaddon/Github Repos/Narrative","done","no","no","no","no-change"
"Ecological Constellation","ecological-constellation","first_pass","/Users/benjaminhaddon/Github Repos/ecological-constellation","done","no","no","no","no-change"
