Name,Domain,Live Site,Primary Through-line,Project Essence,Repo link,Status,Visibility
JobQuestOS,Career systems,https://benwassa.github.io/JobQuestOS/,Structure over overwhelm,"A personal operating system for job searching that replaces anxiety and sprawl with clear daily actions, progress tracking, and focus on what actually moves interviews forward.",https://github.com/BenWassa/JobQuestOS,Active,Internal
Portfolio,Portfolio & identity,https://benwassa.github.io/Portfolio/,,"A curated showcase that ties together research, storytelling, and technology into a coherent professional narrative.",https://github.com/BenWassa/Portfolio,Active,Portfolio
Chiron,Archives,,Structure over overwhelm,"An AI-assisted career coach designed to support accountability, reflection, and decisive action for high-standards individuals.",,Concept,Archive
Orion,Narrative & meaning,,Psychology into Experience,"A mythic, psychologically grounded core map that guides users through symbolic life stages using archetypes, gates, and tone.",https://github.com/BenWassa/Orion,Concept,Internal
ecological-constellation,Psychology & behavior,https://benwassa.github.io/ecological-constellation/,Psychology into Experience,"A personality framework that maps Big Five traits into ecological strategies rather than fixed types, emphasizing context and adaptability.",https://github.com/BenWassa/ecological-constellation,Active,Portfolio
Dukkha,Psychology & behavior,https://benwassa.github.io/dukkha/,Psychology into Experience,"An exploratory project examining how motivation, reward, and curiosity flow through daily life.",https://github.com/BenWassa/dukkha,Draft,Portfolio
Psi,Psychology & behavior,,Psychology into Experience,"A living chronicle of psychological thought unfolding through voices, stories, and shifting paradigms.",https://github.com/BenWassa/Psi,Concept,Internal
Iris,Psychology & behavior,,Psychology into Experience,An interactive visualization tool that explores how neurochemical shifts shape emotional states.,https://github.com/BenWassa/Iris,Prototype,Portfolio
Janus,Archives,,Psychology into Experience,A retro text RPG where narrative choices quietly reveal psychological patterns and culminate in a personal mind-profile.,https://github.com/BenWassa/Janus,Prototype,Archive
Ares,Narrative & meaning,https://benwassa.github.io/Ares,Narrative as interface,"An immersive digital synopsis of Extreme Mass Homicide that blends academic rigor with accessible, narrative-driven presentation.",https://github.com/BenWassa/Ares,Concept,Internal
Agoge,Narrative & meaning,https://benwassa.github.io/agoge/,Narrative as interface,"A narrative research project exploring rites of passage and how boys become grounded, resilient men.",https://github.com/BenWassa/agoge,Draft,Portfolio
Skywalker,Narrative & meaning,https://benwassa.github.io/Skywalker/,Narrative as interface,A practical guide to personal growth inspired by the Hero�s Journey and Luke Skywalker�s arc.,https://github.com/BenWassa/Skywalker,Active,Portfolio
pinocchio,Narrative & meaning,,Narrative as interface,"A museum-grade, immersive site exploring moral development through the story of Pinocchio.",https://github.com/BenWassa/pinocchio,Concept,Internal
nemo,Narrative & meaning,,Narrative as interface,A reusable framework for film and psychology miniseries built around narrative structure and archetypal analysis.,https://github.com/BenWassa/nemo,Draft,Internal
Narrative,Tools & PWAs,https://benwassa.github.io/Narrative/,PWA,"A fast, offline-first travel photo organizer that sorts images by story role instead of chronology.",https://github.com/BenWassa/Narrative,Active,Portfolio
drop,Tools & PWAs,https://benwassa.github.io/drop/,PWA,"A lightweight daily logging app across core life domains that emphasizes realism, recovery, and long-term consistency.",https://github.com/BenWassa/drop,Active,Portfolio
STARK,Tools & PWAs,https://benwassa.github.io/STARK/,PWA,"A minimal system translating physiology into insight through clean, transparent analytics.",https://github.com/BenWassa/STARK,Active,Portfolio
wrestlePWA,Tools & PWAs,https://benwassa.github.io/wrestlePWA/,PWA,An offline-first training log for wrestlers focused on honest tracking without accounts or gamification.,https://github.com/BenWassa/wrestlePWA,Active,Portfolio
Vox_Showcase,Tools & PWAs,https://benwassa.github.io/Vox_Showcase/,PWA,"A lean, offline-first vocabulary tracker designed for focused language study.",https://github.com/BenWassa/Vox_Showcase,Active,Portfolio
CasebreakerChronicles,Career systems,https://benwassa.github.io/CasebreakerChronicles,Narrative as interface,"An RPG-style system that turns consulting interview prep into structured, story-driven practice.",https://github.com/BenWassa/CasebreakerChronicles,Prototype,Internal
Hermes,Research & analysis,,Structure over overwhelm,A living signal filter that curates clarity from global noise through daily summaries.,https://github.com/BenWassa/Hermes,Concept,Internal
PoliVis,Research & analysis,https://benwassa.github.io/PoliVis/,Structure over overwhelm,A civic intelligence platform organizing political data into an accessible knowledge graph.,https://github.com/BenWassa/PoliVis,Concept,Internal
Project-Loki,Psychology & behavior,https://benwassa.github.io/Project-Loki/,Psychology into Experience,A mission-oriented project focused on revealing algorithmic influence on human behavior.,https://github.com/BenWassa/Project-Loki,Concept,Internal
the-pushup-challenge-2025,Tools & PWAs,https://benwassa.github.io/the-pushup-challenge-2025/,PWA,A time-bound app built to support participants during the Pushup Challenge.,https://github.com/BenWassa/the-pushup-challenge-2025,Active,Portfolio
FamilyPlan,Narrative & meaning,,Structure over overwhelm,"A long-horizon planning system for family formation, income resilience, and child development.",,Concept,Internal
consulting-prep-system,Career systems,,Structure over overwhelm,"A structured internal system for high-quality, repeatable consulting interview preparation.",,Reference,Internal
Schreiben,Archives,,,A personal archive of written work.,,Reference,Internal
Arbeit_2025,Archives,,,,https://Reference,Reference,
macrosbackup,Archives,,,Backup of Excel and VBA macros.,,Reference,Internal
-Template-,Templates & infrastructure,,,A reusable starter template for new projects.,https://github.com/BenWassa/-Template-,Template,Internal
Morpheus,Tools & PWAs,https://benwassa.github.io/morpheus-dream-archive/,Psychology into Experience,"A personal archive for recording and reflecting on dreams, treating the unconscious as a meaningful signal rather than noise.",https://github.com/BenWassa/morpheus-dream-archive,Active,Portfolio
great-decoupling,Narrative & meaning,,Narrative as interface,"A data-driven research project examining the economic, social, and institutional decoupling shaping the modern world, presented through narrative, policy brief, and interactive visuals.",,Prototype,Portfolio
backup_portfolio,Portfolio & identity,https://stackblitz.com/edit/vitejs-vite-pzqadwya,,Created with StackBlitz ⚡️,https://github.com/BenWassa/backup_portfolio,Archive,Archive
BE,Tools & PWAs,https://benwassa.github.io/BE/,PWA,"•BE• (Black Excellence) is a lightweight single-file app and research project celebrating African-American comedy cinema. It combines a curated film list, local watchlist tracking (ratings, notes, watched toggle), and cultural context — honoring laughter as both entertainment and legacy.",https://github.com/BenWassa/BE,Concept,Internal
CV_QR,Career systems,https://benwassa.github.io/CV_QR/,,QRs for CVs,https://github.com/BenWassa/CV_QR,Active,Internal
hearth-poster-admin,Archives,https://benwassa.github.io/hearth-poster-admin/,,,https://github.com/BenWassa/hearth-poster-admin,Archive,Archive
Hearth,Tools & PWAs,https://benwassa.github.io/hearthMVP/,PWA,"A calm, shared watchlist PWA designed to help couples decide what to watch together without endless scrolling or algorithmic pressure.",https://github.com/BenWassa/hearthMVP,Active,Portfolio
Orpheus,Psychology & behavior,https://benwassa.github.io/orpheus/,Psychology into Experience,Analyze your listening history to map subconscious emotional patterns—Project Orpheus turns musical obsessions into insights,https://github.com/BenWassa/orpheus,Active,Portfolio
Sankofa,Narrative & meaning,https://benwassa.github.io/sankofa/,Narrative as interface,"A living archive and research framework for revisiting, reclaiming, and reapplying past knowledge — bridging memory, culture, and modern inquiry.",https://github.com/BenWassa/sankofa,Active,Portfolio
Vox,Tools & PWAs,https://benwassa.github.io/Vox/,PWA,"Vox is a lean, offline-first vocabulary tracker designed for focused study in Spanish and Mandarin.",https://github.com/BenWassa/Vox,Active,Internal
punchbuggy,Tools & PWAs,https://benwassa.github.io/punchbuggy/,PWA,no punchbacks,https://github.com/BenWassa/punchbuggy,Active,Portfolio
z_DATA DICTIONARY_21_01_2026,Templates & infrastructure,,,,,Reference,Internal
