Name,Domain,Live Site,Primary Through-line,Project Essence,Repo link,Status,Visibility
JobQuestOS,Career systems,https://benwassa.github.io/JobQuestOS/,Structure over overwhelm,"A personal operating system for job searching that replaces anxiety and sprawl with clear daily actions, progress tracking, and focus on what actually moves interviews forward.",https://github.com/BenWassa/JobQuestOS,Active,Portfolio
Portfolio,Portfolio / Identity,https://benwassa.github.io/Portfolio/,"","A curated showcase that ties together research, storytelling, and technology into a coherent professional narrative.",https://github.com/BenWassa/Portfolio,Active,Portfolio
Chiron,Career systems,,Structure over overwhelm,"An AI-assisted career coach designed to support accountability, reflection, and decisive action for high-standards individuals.",,Concept,Internal
Orion,Psychology / Narrative systems,,Psychology into Experience,"A mythic, psychologically grounded core map that guides users through symbolic life stages using archetypes, gates, and tone.",https://github.com/BenWassa/Orion,Concept,Portfolio
ecological-constellation,Personality psychology,https://benwassa.github.io/ecological-constellation/,Psychology into Experience,"A personality framework that maps Big Five traits into ecological strategies rather than fixed types, emphasizing context and adaptability.",https://github.com/BenWassa/ecological-constellation,Active,Portfolio
dukkha,Motivation / Behavior,https://benwassa.github.io/dukkha/,Psychology into Experience,"An exploratory project examining how motivation, reward, and curiosity flow through daily life.",https://github.com/BenWassa/dukkha,Draft,Internal
Psi,Psychology / Education,,Psychology into Experience,"A living chronicle of psychological thought unfolding through voices, stories, and shifting paradigms.",https://github.com/BenWassa/Psi,Concept,Internal
Iris,Neuropsych / Visualization,,Psychology into Experience,An interactive visualization tool that explores how neurochemical shifts shape emotional states.,https://github.com/BenWassa/Iris,Prototype,Internal
Janus,Psychology / Narrative experiment,,Psychology into Experience,A retro text RPG where narrative choices quietly reveal psychological patterns and culminate in a personal mind-profile.,https://github.com/BenWassa/Janus,Prototype,Portfolio
Ares,History / Scholarly storytelling,https://benwassa.github.io/Ares,Narrative as interface,"An immersive digital synopsis of Extreme Mass Homicide that blends academic rigor with accessible, narrative-driven presentation.",https://github.com/BenWassa/Ares,Concept,Portfolio
agoge,Culture / Psychology,https://benwassa.github.io/agoge/,Narrative as interface,"A narrative research project exploring rites of passage and how boys become grounded, resilient men.",https://github.com/BenWassa/agoge,Draft,Portfolio
Skywalker,Mythic self-development,https://benwassa.github.io/Skywalker/,Narrative as interface,A practical guide to personal growth inspired by the Hero�s Journey and Luke Skywalker�s arc.,https://github.com/BenWassa/Skywalker,Active,Internal
pinocchio,Film / Moral psychology,,Narrative as interface,"A museum-grade, immersive site exploring moral development through the story of Pinocchio.",https://github.com/BenWassa/pinocchio,Concept,Portfolio
nemo,Media analysis,,Narrative as interface,A reusable framework for film and psychology miniseries built around narrative structure and archetypal analysis.,https://github.com/BenWassa/nemo,Draft,Internal
Narrative,Creative tooling,https://benwassa.github.io/Narrative/,PWA,"A fast, offline-first travel photo organizer that sorts images by story role instead of chronology.",https://github.com/BenWassa/Narrative,Active,Portfolio
drop,Habit tracking,https://benwassa.github.io/drop/,PWA,"A lightweight daily logging app across core life domains that emphasizes realism, recovery, and long-term consistency.",https://github.com/BenWassa/drop,Active,Internal
wrestlePWA,Fitness / Training,https://benwassa.github.io/wrestlePWA/,PWA,An offline-first training log for wrestlers focused on honest tracking without accounts or gamification.,https://github.com/BenWassa/wrestlePWA,Active,Portfolio
STARK,Fitness analytics,https://benwassa.github.io/STARK/,PWA,"A minimal system translating physiology into insight through clean, transparent analytics.",https://github.com/BenWassa/STARK,Active,Internal
Vox_Showcase,Language learning,https://benwassa.github.io/Vox_Showcase/,PWA,"A lean, offline-first vocabulary tracker designed for focused language study.",https://github.com/BenWassa/Vox_Showcase,Active,Portfolio
CasebreakerChronicles,Consulting prep,https://benwassa.github.io/CasebreakerChronicles,Narrative as interface,"An RPG-style system that turns consulting interview prep into structured, story-driven practice.",https://github.com/BenWassa/CasebreakerChronicles,Prototype,Internal
Hermes,Media / Signal processing,,Structure over overwhelm,A living signal filter that curates clarity from global noise through daily summaries.,https://github.com/BenWassa/Hermes,Concept,Internal
PoliVis,Civic tech,https://benwassa.github.io/PoliVis/,Structure over overwhelm,A civic intelligence platform organizing political data into an accessible knowledge graph.,https://github.com/BenWassa/PoliVis,Concept,Internal
Project-Loki,Digital agency / Behavior,https://benwassa.github.io/Project-Loki/,Psychology into Experience,A mission-oriented project focused on revealing algorithmic influence on human behavior.,https://github.com/BenWassa/Project-Loki,Concept,Internal
the-pushup-challenge-2025,Fitness challenge,https://benwassa.github.io/the-pushup-challenge-2025/,Structure over overwhelm,A time-bound app built to support participants during the Pushup Challenge.,https://github.com/BenWassa/the-pushup-challenge-2025,Active,Archive
FamilyPlan,Life planning,,Structure over overwhelm,"A long-horizon planning system for family formation, income resilience, and child development.",,Concept,Internal
consulting-prep-system,Career prep,,Structure over overwhelm,"A structured internal system for high-quality, repeatable consulting interview preparation.",,Reference,Internal
Schreiben,Writing archive,,,A personal archive of written work.,,Reference,Archive
Arbeit_2025,Work archive,,,Backup repository for work produced in 2025.,,Reference,Archive
macrosbackup,Tooling archive,,,Backup of Excel and VBA macros.,,Reference,Archive
-Template-,Developer tooling,,,A reusable starter template for new projects.,https://github.com/BenWassa/-Template-,Template,Internal
morpheus-dream-archive,Psychology / Inner Life,https://benwassa.github.io/morpheus-dream-archive/,Psychology into Experience,"A personal archive for recording and reflecting on dreams, treating the unconscious as a meaningful signal rather than noise.",https://github.com/BenWassa/morpheus-dream-archive,Prototype,Internal
great-decoupling,Research / Political Economy,,Narrative as interface,"A data-driven research project examining the economic, social, and institutional decoupling shaping the modern world, presented through narrative, policy brief, and interactive visuals.",,Prototype,Portfolio
backup_portfolio,,https://stackblitz.com/edit/vitejs-vite-pzqadwya,,,,,
BE,,https://benwassa.github.io/BE/,,,,,
CV_QR,,https://benwassa.github.io/CV_QR/,,,,,
hearth-poster-admin,,https://benwassa.github.io/hearth-poster-admin/,,,,,
hearthMVP,,https://benwassa.github.io/hearthMVP/,,,,,
